postcode,suburb,state,dc,type,lat,lon
3000,MELBOURNE,VIC,CITY DELIVERY CENTRE,Delivery Area,-37.814563,144.970267
3001,MELBOURNE,VIC,CITY MAIL PROCESSING CENTRE,Post Office Boxes,-38.365017,144.76592
3002,EAST MELBOURNE,VIC,CITY DELIVERY CENTRE,Delivery Area,-37.81664,144.987811
3003,WEST MELBOURNE,VIC,CITY DELIVERY CENTRE,Delivery Area,-37.806255,144.941123
3004,MELBOURNE,VIC,CITY DELIVERY CENTRE,Delivery Area,-37.837324,144.976335
3005,WORLD TRADE CENTRE,VIC,CITY DELIVERY CENTRE,Delivery Area,-37.822262,144.954856
3006,SOUTHBANK,VIC,SOUTH MELBOURNE DC,Delivery Area,-37.823258,144.965926
3008,DOCKLANDS,VIC,CITY DELIVERY CENTRE,Delivery Area,-37.814719,144.948039
3010,UNIVERSITY OF MELBOURNE,VIC,CARLTON DC,Delivery Area,-37.796152,144.961351
3011,FOOTSCRAY,VIC,WEST FOOTSCRAY DC,Delivery Area,-37.79977,144.899587
3011,SEDDON,VIC,WEST FOOTSCRAY DC,Delivery Area,-37.808769,144.895486
3011,SEDDON WEST,VIC,WEST FOOTSCRAY DC,Delivery Area,-37.795059,144.866197
3012,BROOKLYN,VIC,WEST FOOTSCRAY DC,Delivery Area,-37.814624,144.847108
3012,KINGSVILLE,VIC,WEST FOOTSCRAY DC,Delivery Area,-37.812635,144.881803
3012,KINGSVILLE WEST,VIC,WEST FOOTSCRAY DC,Delivery Area,-37.795059,144.866197
3012,MAIDSTONE,VIC,WEST FOOTSCRAY DC,Delivery Area,-37.782096,144.874299
3012,TOTTENHAM,VIC,WEST FOOTSCRAY DC,Delivery Area,-37.799065,144.857829
3012,WEST FOOTSCRAY,VIC,WEST FOOTSCRAY DC,Delivery Area,-37.797701,144.879924
3013,YARRAVILLE,VIC,WEST FOOTSCRAY DC,Delivery Area,-37.816178,144.889774
3013,YARRAVILLE WEST,VIC,WEST FOOTSCRAY DC,Delivery Area,-37.818019,144.883582
3015,NEWPORT,VIC,NEWPORT DC,Delivery Area,-37.842477,144.883145
3015,SOUTH KINGSVILLE,VIC,NEWPORT DC,Delivery Area,-37.833627,144.870742
3015,SPOTSWOOD,VIC,NEWPORT DC,Delivery Area,-37.82967,144.885078
3016,WILLIAMSTOWN,VIC,NEWPORT DC,Delivery Area,-37.856902,144.897698
3016,WILLIAMSTOWN NORTH,VIC,NEWPORT DC,Delivery Area,-37.857681,144.887041
3018,ALTONA,VIC,NEWPORT DC,Delivery Area,-37.869275,144.830286
3018,SEAHOLME,VIC,NEWPORT DC,Delivery Area,-37.867992,144.843609
3019,BRAYBROOK,VIC,WEST FOOTSCRAY DC,Delivery Area,-37.779309,144.855359
3019,BRAYBROOK NORTH,VIC,WEST FOOTSCRAY DC,Delivery Area,-37.84536,144.894555
3019,ROBINSON,VIC,WEST FOOTSCRAY DC,Delivery Area,-37.834094,145.040941
3020,ALBION,VIC,SUNSHINE DC,Delivery Area,-37.775954,144.819395
3020,GLENGALA,VIC,SUNSHINE DC,Delivery Area,-37.788346,144.809505
3020,SUNSHINE NORTH,VIC,SUNSHINE DC,Delivery Area,-37.768904,144.830258
3020,SUNSHINE WEST,VIC,SUNSHINE DC,Delivery Area,-37.79983,144.81845
3021,ALBANVALE,VIC,ST ALBANS DC,Delivery Area,-37.745934,144.770027
3021,KEALBA,VIC,ST ALBANS DC,Delivery Area,-37.742331,144.825918
3021,KINGS PARK,VIC,ST ALBANS DC,Delivery Area,-37.734277,144.780872
3021,ST ALBANS,VIC,ST ALBANS DC,Delivery Area,-37.745063,144.799626
3022,ARDEER,VIC,SUNSHINE DC,Delivery Area,-37.78292,144.801018
3022,DEER PARK EAST,VIC,SUNSHINE DC,Delivery Area,-37.740815,144.797867
3023,BURNSIDE,VIC,SUNSHINE DC,Delivery Area,-37.753381,144.752618
3023,BURNSIDE HEIGHTS,VIC,SUNSHINE DC,Delivery Area,-37.771039,144.772248
3023,CAIRNLEA,VIC,SUNSHINE DC,Delivery Area,-37.762076,144.754169
3023,CAROLINE SPRINGS,VIC,SUNSHINE DC,Delivery Area,-37.74124,144.736311
3023,DEER PARK,VIC,SUNSHINE DC,Delivery Area,-37.770312,144.77472
3023,DEER PARK NORTH,VIC,SUNSHINE DC,Delivery Area,-37.744466,144.751767
3023,RAVENHALL,VIC,SUNSHINE DC,Delivery Area,-37.766501,144.738709
3024,MAMBOURIN,VIC,HOPPERS CROSSING DEL CENTRE,Delivery Area,-37.899873,144.556552
3024,MOUNT COTTRELL,VIC,HOPPERS CROSSING DEL CENTRE,Delivery Area,-37.76516,144.609501
3024,WYNDHAM VALE,VIC,HOPPERS CROSSING DEL CENTRE,Delivery Area,-37.891641,144.629467
3025,ALTONA EAST,VIC,NEWPORT DC,Delivery Area,-37.835657,144.85995
3025,ALTONA GATE,VIC,NEWPORT DC,Delivery Area,-37.825297,144.842988
3025,ALTONA NORTH,VIC,NEWPORT DC,Delivery Area,-37.842879,144.850049
3026,LAVERTON NORTH,VIC,HOPPERS CROSSING DEL CENTRE,Delivery Area,-37.841653,144.795959
3027,LAVERTON RAAF,VIC,HOPPERS CROSSING DEL CENTRE,Delivery Area,-37.859941,144.760517
3028,ALTONA MEADOWS,VIC,HOPPERS CROSSING DEL CENTRE,Delivery Area,-37.871632,144.778084
3028,LAVERTON,VIC,HOPPERS CROSSING DEL CENTRE,Delivery Area,-37.866939,144.761748
3028,SEABROOK,VIC,HOPPERS CROSSING DEL CENTRE,Delivery Area,-37.877626,144.75777
3029,HOPPERS CROSSING,VIC,HOPPERS CROSSING DEL CENTRE,Delivery Area,-37.882636,144.700297
3029,TARNEIT,VIC,HOPPERS CROSSING DEL CENTRE,Delivery Area,-37.823738,144.692893
3029,TRUGANINA,VIC,HOPPERS CROSSING DEL CENTRE,Delivery Area,-37.825004,144.748931
3030,COCOROC,VIC,HOPPERS CROSSING DEL CENTRE,Delivery Area,-37.969994,144.582987
3030,DERRIMUT,VIC,HOPPERS CROSSING DEL CENTRE,Delivery Area,-37.797549,144.771097
3030,POINT COOK,VIC,HOPPERS CROSSING DEL CENTRE,Delivery Area,-37.914616,144.751038
3030,QUANDONG,VIC,HOPPERS CROSSING DEL CENTRE,Delivery Area,-37.838725,144.554915
3030,WERRIBEE,VIC,HOPPERS CROSSING DEL CENTRE,Delivery Area,-37.903337,144.657731
3030,WERRIBEE SOUTH,VIC,HOPPERS CROSSING DEL CENTRE,Delivery Area,-37.903337,144.657731
3037,DELAHEY,VIC,ST ALBANS DC,Delivery Area,-37.715579,144.780474
3037,HILLSIDE,VIC,ST ALBANS DC,Delivery Area,-37.691437,144.74002
3037,SYDENHAM,VIC,ST ALBANS DC,Delivery Area,-37.70004,144.764617
3037,TAYLORS HILL,VIC,ST ALBANS DC,Delivery Area,-37.710381,144.766791
3038,KEILOR DOWNS,VIC,ST ALBANS DC,Delivery Area,-37.725726,144.811346
3038,KEILOR LODGE,VIC,ST ALBANS DC,Delivery Area,-37.695768,144.797032
3038,TAYLORS LAKES,VIC,ST ALBANS DC,Delivery Area,-37.698758,144.78766
3038,WATERGARDENS,VIC,ST ALBANS DC,Delivery Area,-37.698952,144.777576
3044,PASCOE VALE,VIC,PRESTON DC,Delivery Area,-37.727568,144.939122
3044,PASCOE VALE SOUTH,VIC,PRESTON DC,Delivery Area,-37.739198,144.945722
3046,GLENROY,VIC,PRESTON DC,Delivery Area,-37.704581,144.915758
3046,HADFIELD,VIC,PRESTON DC,Delivery Area,-37.707238,144.93832
3046,OAK PARK,VIC,PRESTON DC,Delivery Area,-37.71817,144.919959
3047,BROADMEADOWS,VIC,SOMERTON DC,Delivery Area,-37.680792,144.921009
3047,DALLAS,VIC,SOMERTON DC,Delivery Area,-37.673333,144.931141
3047,JACANA,VIC,SOMERTON DC,Delivery Area,-37.690301,144.915729
3048,COOLAROO,VIC,SOMERTON DC,Delivery Area,-37.651811,144.930466
3048,MEADOW HEIGHTS,VIC,SOMERTON DC,Delivery Area,-37.64986,144.922104
3049,ATTWOOD,VIC,SOMERTON DC,Delivery Area,-37.667515,144.88529
3049,WESTMEADOWS,VIC,SOMERTON DC,Delivery Area,-37.673551,144.90086
3049,CALDER PARK,VIC,ST ALBANS DC,Delivery Area,-37.700648,144.755896
3050,ROYAL MELBOURNE HOSPITAL,VIC,CARLTON DC,Delivery Area,-37.798631,144.955627
3051,NORTH MELBOURNE,VIC,CITY DELIVERY CENTRE,Delivery Area,-37.905996,145.056254
3052,MELBOURNE UNIVERSITY,VIC,CARLTON DC,Delivery Area,-37.796152,144.961351
3052,PARKVILLE,VIC,CARLTON DC,Delivery Area,-37.788531,144.947731
3053,CARLTON,VIC,CARLTON DC,Delivery Area,-37.784337,144.969747
3053,CARLTON SOUTH,VIC,CARLTON DC,Delivery Area,-37.778987,145.0026
3054,CARLTON NORTH,VIC,CARLTON DC,Delivery Area,-37.784337,144.969747
3054,PRINCES HILL,VIC,CARLTON DC,Delivery Area,-37.780995,144.962792
3055,BRUNSWICK SOUTH,VIC,PRESTON DC,Delivery Area,-37.772049,144.944635
3055,BRUNSWICK WEST,VIC,PRESTON DC,Delivery Area,-37.762489,144.961176
3055,MOONEE VALE,VIC,PRESTON DC,Delivery Area,-37.763919,144.940314
3055,MORELAND WEST,VIC,PRESTON DC,Delivery Area,-37.713902,144.937112
3056,BRUNSWICK,VIC,PRESTON DC,Delivery Area,-37.764829,144.943778
3056,BRUNSWICK LOWER,VIC,PRESTON DC,Delivery Area,-37.759717,144.95137
3056,BRUNSWICK NORTH,VIC,PRESTON DC,Delivery Area,-37.760071,144.972291
3057,BRUNSWICK EAST,VIC,PRESTON DC,Delivery Area,-37.76491,144.979567
3058,BATMAN,VIC,PRESTON DC,Delivery Area,-37.733524,144.962837
3058,COBURG,VIC,PRESTON DC,Delivery Area,-37.743188,144.966279
3058,COBURG NORTH,VIC,PRESTON DC,Delivery Area,-37.730842,144.971699
3058,MERLYNSTON,VIC,PRESTON DC,Delivery Area,-37.720932,144.96131
3058,MORELAND,VIC,PRESTON DC,Delivery Area,-37.748315,144.961827
3059,GREENVALE,VIC,SOMERTON DC,Delivery Area,-37.642984,144.88872
3060,FAWKNER,VIC,PRESTON DC,Delivery Area,-37.759823,144.89571
3060,FAWKNER EAST,VIC,PRESTON DC,Delivery Area,-37.709159,144.950411
3060,FAWKNER NORTH,VIC,PRESTON DC,Delivery Area,-37.705055,144.944577
3061,CAMPBELLFIELD,VIC,SOMERTON DC,Delivery Area,-37.643746,144.951369
3062,SOMERTON,VIC,SOMERTON DC,Delivery Area,-37.642563,144.944259
3063,OAKLANDS JUNCTION,VIC,SOMERTON DC,Delivery Area,-37.629826,144.839244
3063,YUROKE,VIC,SOMERTON DC,Delivery Area,-37.589589,144.879406
3064,CRAIGIEBURN,VIC,SOMERTON DC,Delivery Area,-37.598975,144.941287
3064,DONNYBROOK,VIC,SOMERTON DC,Delivery Area,-37.542028,144.963579
3064,KALKALLO,VIC,SOMERTON DC,Delivery Area,-37.529372,144.947106
3064,MICKLEHAM,VIC,SOMERTON DC,Delivery Area,-37.560864,144.879078
3064,ROXBURGH PARK,VIC,SOMERTON DC,Delivery Area,-37.636795,144.932604
3065,FITZROY,VIC,FITZROY DC,Delivery Area,-37.800917,144.979165
3066,COLLINGWOOD,VIC,FITZROY DC,Delivery Area,-37.800366,144.984149
3066,COLLINGWOOD NORTH,VIC,FITZROY DC,Delivery Area,-37.789805,144.990796
3067,ABBOTSFORD,VIC,FITZROY DC,Delivery Area,-37.801781,144.998752
3068,CLIFTON HILL,VIC,FITZROY DC,Delivery Area,-37.788118,144.992067
3068,FITZROY NORTH,VIC,FITZROY DC,Delivery Area,-37.7834,144.984688
3070,NORTHCOTE,VIC,PRESTON DC,Delivery Area,-37.769857,144.995276
3070,NORTHCOTE SOUTH,VIC,PRESTON DC,Delivery Area,-37.779039,145.006746
3071,THORNBURY,VIC,PRESTON DC,Delivery Area,-37.75504,144.998589
3072,NORTHLAND CENTRE,VIC,PRESTON DC,Delivery Area,-37.742047,145.027716
3072,PRESTON,VIC,PRESTON DC,Delivery Area,-37.738736,145.000515
3072,PRESTON LOWER,VIC,PRESTON DC,Delivery Area,-37.743606,145.019624
3072,PRESTON SOUTH,VIC,PRESTON DC,Delivery Area,-37.743356,145.009123
3072,PRESTON WEST,VIC,PRESTON DC,Delivery Area,-37.736855,145.003005
3073,KEON PARK,VIC,PRESTON DC,Delivery Area,-37.694672,145.011907
3073,RESERVOIR,VIC,PRESTON DC,Delivery Area,-37.716897,145.006985
3073,RESERVOIR EAST,VIC,PRESTON DC,Delivery Area,-37.722243,145.011124
3073,RESERVOIR NORTH,VIC,PRESTON DC,Delivery Area,-37.723105,145.018195
3073,RESERVOIR SOUTH,VIC,PRESTON DC,Delivery Area,-37.714796,144.944655
3074,THOMASTOWN,VIC,EPPING DC,Delivery Area,-37.680338,145.014287
3075,LALOR,VIC,EPPING DC,Delivery Area,-37.665857,145.017194
3075,LALOR PLAZA,VIC,EPPING DC,Delivery Area,-37.673141,145.016634
3076,EPPING,VIC,EPPING DC,Delivery Area,-37.638363,145.009493
3078,ALPHINGTON,VIC,PRESTON DC,Delivery Area,-37.780767,145.03116
3078,FAIRFIELD,VIC,PRESTON DC,Delivery Area,-37.776946,145.018479
3079,IVANHOE,VIC,HEIDELBERG WEST DEL CENTRE,Delivery Area,-37.76964,145.041425
3079,IVANHOE EAST,VIC,HEIDELBERG WEST DEL CENTRE,Delivery Area,-37.77283,145.059401
3079,IVANHOE NORTH,VIC,HEIDELBERG WEST DEL CENTRE,Delivery Area,-37.723105,145.018195
3081,BELLFIELD,VIC,HEIDELBERG WEST DEL CENTRE,Delivery Area,-37.751819,145.045449
3081,HEIDELBERG HEIGHTS,VIC,HEIDELBERG WEST DEL CENTRE,Delivery Area,-37.742268,145.048873
3081,HEIDELBERG WEST,VIC,HEIDELBERG WEST DEL CENTRE,Delivery Area,-37.74944,145.0414
3082,MILL PARK,VIC,EPPING DC,Delivery Area,-37.667957,145.060693
3083,BUNDOORA,VIC,BUNDOORA DC,Delivery Area,-37.70132,145.071967
3083,KINGSBURY,VIC,BUNDOORA DC,Delivery Area,-37.714064,145.035103
3083,LA TROBE UNIVERSITY,VIC,BUNDOORA DC,Delivery Area,-37.721328,145.047012
3084,BANYULE,VIC,HEIDELBERG WEST DEL CENTRE,Delivery Area,-37.744219,145.08793
3084,EAGLEMONT,VIC,HEIDELBERG WEST DEL CENTRE,Delivery Area,-37.762519,145.068208
3084,HEIDELBERG,VIC,HEIDELBERG WEST DEL CENTRE,Delivery Area,-37.756341,145.067145
3084,ROSANNA,VIC,HEIDELBERG WEST DEL CENTRE,Delivery Area,-37.742893,145.065044
3084,VIEWBANK,VIC,HEIDELBERG WEST DEL CENTRE,Delivery Area,-37.739262,145.096424
3085,MACLEOD,VIC,HEIDELBERG WEST DEL CENTRE,Delivery Area,-37.726038,145.068457
3085,MACLEOD WEST,VIC,HEIDELBERG WEST DEL CENTRE,Delivery Area,-37.736354,145.038518
3085,YALLAMBIE,VIC,HEIDELBERG WEST DEL CENTRE,Delivery Area,-37.727482,145.102309
3086,LA TROBE UNIVERSITY,VIC,BUNDOORA DC,Delivery Area,-37.721328,145.047012
3087,WATSONIA,VIC,BUNDOORA DC,Delivery Area,-37.712531,145.082098
3087,WATSONIA NORTH,VIC,BUNDOORA DC,Delivery Area,-37.698352,145.084586
3088,BRIAR HILL,VIC,BUNDOORA DC,Delivery Area,-37.709483,145.120135
3088,GREENSBOROUGH,VIC,BUNDOORA DC,Delivery Area,-37.704622,145.103024
3088,SAINT HELENA,VIC,BUNDOORA DC,Delivery Area,-37.690585,145.130847
3093,LOWER PLENTY,VIC,BUNDOORA DC,Delivery Area,-37.730758,145.088118
3094,MONTMORENCY,VIC,BUNDOORA DC,Delivery Area,-37.715294,145.121583
3095,ELTHAM,VIC,RESEARCH DELIVERY CENTRE,Delivery Area,-37.71383,145.148537
3095,ELTHAM NORTH,VIC,RESEARCH DELIVERY CENTRE,Delivery Area,-37.69401,145.147506
3095,RESEARCH,VIC,RESEARCH DELIVERY CENTRE,Delivery Area,-37.703602,145.180636
3097,BEND OF ISLANDS,VIC,RESEARCH DELIVERY CENTRE,Delivery Area,-37.697232,145.284134
3097,KANGAROO GROUND,VIC,RESEARCH DELIVERY CENTRE,Delivery Area,-37.692032,145.215528
3097,WATSONS CREEK,VIC,RESEARCH DELIVERY CENTRE,Delivery Area,-37.67058,145.256526
3101,COTHAM,VIC,DEEPDENE DC,Delivery Area,-37.808497,145.044922
3101,KEW,VIC,DEEPDENE DC,Delivery Area,-37.797982,145.053727
3102,KEW EAST,VIC,DEEPDENE DC,Delivery Area,-37.796246,145.049017
3103,BALWYN,VIC,DEEPDENE DC,Delivery Area,-37.809701,145.082303
3103,BALWYN EAST,VIC,DEEPDENE DC,Delivery Area,-37.807312,145.096698
3104,BALWYN NORTH,VIC,DEEPDENE DC,Delivery Area,-37.792835,145.071727
3104,GREYTHORN,VIC,DEEPDENE DC,Delivery Area,-37.796947,145.098434
3105,BULLEEN,VIC,TEMPLESTOWE DC,Delivery Area,-37.768554,145.079543
3106,TEMPLESTOWE,VIC,TEMPLESTOWE DC,Delivery Area,-37.768882,145.117873
3107,TEMPLESTOWE LOWER,VIC,TEMPLESTOWE DC,Delivery Area,-37.7563,145.102997
3108,DONCASTER,VIC,TEMPLESTOWE DC,Delivery Area,-37.783031,145.122517
3109,DONCASTER EAST,VIC,TEMPLESTOWE DC,Delivery Area,-37.811994,145.19474
3109,DONCASTER HEIGHTS,VIC,TEMPLESTOWE DC,Delivery Area,-37.788827,145.159247
3109,THE PINES,VIC,TEMPLESTOWE DC,Delivery Area,-37.757762,145.169626
3111,DONVALE,VIC,TEMPLESTOWE DC,Delivery Area,-38.183899,144.468019
3121,BURNLEY,VIC,RICHMOND DC,Delivery Area,-37.826869,145.007098
3121,BURNLEY NORTH,VIC,RICHMOND DC,Delivery Area,-37.829382,145.007165
3121,CREMORNE,VIC,RICHMOND DC,Delivery Area,-37.829719,144.990346
