postcode,suburb,state,dc,type,lat,lon
3121,RICHMOND,VIC,RICHMOND DC,Delivery Area,-37.818587,144.999181
3121,RICHMOND EAST,VIC,RICHMOND DC,Delivery Area,-37.826421,144.996431
3121,RICHMOND NORTH,VIC,RICHMOND DC,Delivery Area,-37.816323,145.011044
3121,RICHMOND SOUTH,VIC,RICHMOND DC,Delivery Area,-37.814951,144.991415
3124,CAMBERWELL,VIC,DEEPDENE DC,Delivery Area,-37.824818,145.057957
3124,CAMBERWELL NORTH,VIC,DEEPDENE DC,Delivery Area,-37.825705,145.068352
3124,CAMBERWELL SOUTH,VIC,DEEPDENE DC,Delivery Area,-37.825705,145.068352
3124,CAMBERWELL WEST,VIC,DEEPDENE DC,Delivery Area,-37.840088,145.093634
3124,HARTWELL,VIC,DEEPDENE DC,Delivery Area,-37.843985,145.075562
3124,MIDDLE CAMBERWELL,VIC,DEEPDENE DC,Delivery Area,-37.844,145.056955
3125,BENNETTSWOOD,VIC,BURWOOD DC,Delivery Area,-37.844825,145.115681
3125,BURWOOD,VIC,BURWOOD DC,Delivery Area,-37.852805,145.151909
3125,SURREY HILLS SOUTH,VIC,BURWOOD DC,Delivery Area,-37.835047,145.096407
3126,CAMBERWELL EAST,VIC,DEEPDENE DC,Delivery Area,-37.840195,145.094524
3126,CANTERBURY,VIC,DEEPDENE DC,Delivery Area,-37.824249,145.073114
3127,MONT ALBERT,VIC,BOX HILL DC,Delivery Area,-37.821232,145.104996
3127,SURREY HILLS,VIC,BOX HILL DC,Delivery Area,-37.825077,145.097412
3127,SURREY HILLS NORTH,VIC,BOX HILL DC,Delivery Area,-37.834288,145.096516
3128,BOX HILL,VIC,BOX HILL DC,Delivery Area,-37.817455,145.119314
3128,BOX HILL CENTRAL,VIC,BOX HILL DC,Delivery Area,-37.819107,145.121273
3128,BOX HILL SOUTH,VIC,BOX HILL DC,Delivery Area,-37.828744,145.121843
3128,HOUSTON,VIC,BOX HILL DC,Delivery Area,-37.844706,145.130113
3128,WATTLE PARK,VIC,BOX HILL DC,Delivery Area,-37.839076,145.104165
3129,BOX HILL NORTH,VIC,BOX HILL DC,Delivery Area,-37.801761,145.126869
3129,KERRIMUIR,VIC,BOX HILL DC,Delivery Area,-37.805767,145.136413
3129,MONT ALBERT NORTH,VIC,BOX HILL DC,Delivery Area,-37.807247,145.11205
3141,CHAPEL STREET NORTH,VIC,RICHMOND DC,Delivery Area,-36.990185,144.063338
3141,SOUTH YARRA,VIC,RICHMOND DC,Delivery Area,-37.837883,144.991123
3142,HAWKSBURN,VIC,RICHMOND DC,Delivery Area,-37.842378,145.001779
3142,TOORAK,VIC,RICHMOND DC,Delivery Area,-37.84216,145.017966
3145,CAULFIELD EAST,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.875412,145.041976
3145,CENTRAL PARK,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.866895,145.048737
3145,DARLING,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.877328,145.059305
3145,MALVERN EAST,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.87837,145.067892
3146,GLEN IRIS,VIC,BURWOOD DC,Delivery Area,-37.854687,145.067215
3147,ASHBURTON,VIC,BURWOOD DC,Delivery Area,-37.863393,145.07942
3147,ASHWOOD,VIC,BURWOOD DC,Delivery Area,-37.864686,145.093061
3148,CHADSTONE,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.886372,145.082527
3148,CHADSTONE CENTRE,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.886372,145.082527
3148,HOLMESGLEN,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.874223,145.091587
3149,MOUNT WAVERLEY,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.875273,145.128398
3149,PINEWOOD,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.891595,145.143314
3149,SYNDAL,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.87947,145.143233
3150,GLEN WAVERLEY,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.877631,145.166222
3150,WHEELERS HILL,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.909349,145.188659
3151,BURWOOD EAST,VIC,BURWOOD DC,Delivery Area,-37.858352,145.138553
3151,BURWOOD HEIGHTS,VIC,BURWOOD DC,Delivery Area,-37.852535,145.150335
3152,KNOX CITY CENTRE,VIC,FERNTREE GULLY DELIVERY CENTRE,Delivery Area,-37.869224,145.241382
3152,WANTIRNA,VIC,FERNTREE GULLY DELIVERY CENTRE,Delivery Area,-37.847915,145.228757
3152,WANTIRNA SOUTH,VIC,FERNTREE GULLY DELIVERY CENTRE,Delivery Area,-37.868979,145.235211
3153,BAYSWATER,VIC,BAYSWATER DC,Delivery Area,-37.84126,145.266725
3153,BAYSWATER NORTH,VIC,BAYSWATER DC,Delivery Area,-37.8303,145.275095
3154,THE BASIN,VIC,BAYSWATER DC,Delivery Area,-37.851467,145.307133
3155,BORONIA,VIC,BAYSWATER DC,Delivery Area,-37.861504,145.275762
3156,FERNTREE GULLY,VIC,FERNTREE GULLY DELIVERY CENTRE,Delivery Area,-37.883019,145.295404
3156,LYSTERFIELD,VIC,FERNTREE GULLY DELIVERY CENTRE,Delivery Area,-37.926533,145.303402
3156,LYSTERFIELD SOUTH,VIC,FERNTREE GULLY DELIVERY CENTRE,Delivery Area,-37.927092,145.291015
3156,MOUNTAIN GATE,VIC,FERNTREE GULLY DELIVERY CENTRE,Delivery Area,-37.890107,145.273576
3156,UPPER FERNTREE GULLY,VIC,FERNTREE GULLY DELIVERY CENTRE,Delivery Area,-37.893513,145.310777
3158,UPWEY,VIC,BELGRAVE DELIVERY CENTRE,Delivery Area,-37.903672,145.33131
3159,MENZIES CREEK,VIC,BELGRAVE DELIVERY CENTRE,Delivery Area,-37.921323,145.403546
3159,SELBY,VIC,BELGRAVE DELIVERY CENTRE,Delivery Area,-37.915182,145.372016
3160,BELGRAVE,VIC,BELGRAVE DELIVERY CENTRE,Delivery Area,-37.908422,145.355075
3160,BELGRAVE HEIGHTS,VIC,BELGRAVE DELIVERY CENTRE,Delivery Area,-37.926012,145.352597
3160,BELGRAVE SOUTH,VIC,BELGRAVE DELIVERY CENTRE,Delivery Area,-37.941795,145.356068
3160,TECOMA,VIC,BELGRAVE DELIVERY CENTRE,Delivery Area,-37.906626,145.343987
3161,CAULFIELD NORTH,VIC,BENTLEIGH EAST DC,Delivery Area,-37.901678,145.02357
3162,CAULFIELD,VIC,BENTLEIGH EAST DC,Delivery Area,-37.880479,145.026806
3162,CAULFIELD SOUTH,VIC,BENTLEIGH EAST DC,Delivery Area,-37.886903,145.021979
3162,HOPETOUN GARDENS,VIC,BENTLEIGH EAST DC,Delivery Area,-37.886719,145.010619
3163,CARNEGIE,VIC,BENTLEIGH EAST DC,Delivery Area,-37.889336,145.058121
3163,GLEN HUNTLY,VIC,BENTLEIGH EAST DC,Delivery Area,-37.889239,145.040629
3163,MURRUMBEENA,VIC,BENTLEIGH EAST DC,Delivery Area,-37.89069,145.067589
3164,DANDENONG SOUTH,VIC,DANDENONG SOUTH BC,Post Office Boxes,-38.02243,145.23738
3165,BENTLEIGH EAST,VIC,BENTLEIGH EAST DC,Delivery Area,-37.927402,145.059412
3165,COATESVILLE,VIC,BENTLEIGH EAST DC,Delivery Area,-37.92075,145.072839
3166,HUGHESDALE,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.895763,145.076545
3166,HUNTINGDALE,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.909347,145.103841
3166,OAKLEIGH,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.899854,145.087116
3166,OAKLEIGH EAST,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.900071,145.105574
3167,OAKLEIGH SOUTH,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.926986,145.0964
3168,CLAYTON,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.925488,145.119662
3168,NOTTING HILL,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.901596,145.145776
3169,CLARINDA,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.941228,145.10244
3169,CLAYTON SOUTH,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.939215,145.126625
3170,MULGRAVE,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.869611,145.102866
3170,WAVERLEY GARDENS,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.92246,145.189181
3171,SANDOWN VILLAGE,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.950802,145.15696
3171,SPRINGVALE,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.97103,145.148499
3172,DINGLEY VILLAGE,VIC,BRAESIDE DC,Delivery Area,-37.973323,145.119941
3172,SPRINGVALE SOUTH,VIC,BRAESIDE DC,Delivery Area,-37.97103,145.148499
3173,KEYSBOROUGH,VIC,BRAESIDE DC,Delivery Area,-37.989707,145.149037
3174,NOBLE PARK,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.967254,145.176167
3174,NOBLE PARK EAST,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.94488,145.17965
3174,NOBLE PARK NORTH,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.9547,145.192117
3175,BANGHOLME,VIC,DANDENONG DC,Delivery Area,-38.033107,145.179482
3175,DANDENONG,VIC,DANDENONG DC,Delivery Area,-37.987271,145.214317
3175,DANDENONG EAST,VIC,DANDENONG DC,Delivery Area,-38.13467,145.129955
3175,DANDENONG NORTH,VIC,DANDENONG DC,Delivery Area,-37.965724,145.205645
3175,DANDENONG SOUTH,VIC,DANDENONG DC,Delivery Area,-38.034031,145.201711
3175,DUNEARN,VIC,DANDENONG DC,Delivery Area,-37.967601,145.202509
3177,DOVETON,VIC,DANDENONG DC,Delivery Area,-37.995245,145.240156
3177,EUMEMMERRING,VIC,DANDENONG DC,Delivery Area,-37.997711,145.250273
3178,ROWVILLE,VIC,FERNTREE GULLY DELIVERY CENTRE,Delivery Area,-37.928005,145.235811
3179,SCORESBY,VIC,FERNTREE GULLY DELIVERY CENTRE,Delivery Area,-37.864883,145.26427
3180,KNOXFIELD,VIC,FERNTREE GULLY DELIVERY CENTRE,Delivery Area,-37.888895,145.248383
3181,PRAHRAN,VIC,RICHMOND DC,Delivery Area,-37.849577,144.993714
3181,PRAHRAN EAST,VIC,RICHMOND DC,Delivery Area,-37.855396,145.039566
3181,WINDSOR,VIC,RICHMOND DC,Delivery Area,-37.856159,144.9922
3182,ST KILDA,VIC,ST KILDA DC,Delivery Area,-37.867573,144.978814
3182,ST KILDA WEST,VIC,ST KILDA DC,Delivery Area,-37.860901,144.972523
3183,BALACLAVA,VIC,ST KILDA DC,Delivery Area,-37.869023,144.995478
3183,ST KILDA EAST,VIC,ST KILDA DC,Delivery Area,-37.866458,145.000047
3184,BRIGHTON ROAD,VIC,ST KILDA DC,Delivery Area,-37.882825,144.996354
3184,ELWOOD,VIC,ST KILDA DC,Delivery Area,-37.888121,144.985026
3185,ELSTERNWICK,VIC,ST KILDA DC,Delivery Area,-37.884724,145.004153
3185,GARDENVALE,VIC,ST KILDA DC,Delivery Area,-37.896915,145.005249
3185,RIPPONLEA,VIC,ST KILDA DC,Delivery Area,-37.876692,144.996194
3186,BRIGHTON,VIC,BRIGHTON DC,Delivery Area,-37.913149,144.991682
3186,BRIGHTON NORTH,VIC,BRIGHTON DC,Delivery Area,-37.903864,145.001899
3186,DENDY,VIC,BRIGHTON DC,Delivery Area,-37.919885,144.996826
3187,BRIGHTON EAST,VIC,BRIGHTON DC,Delivery Area,-37.904879,145.002603
3187,NORTH ROAD,VIC,BRIGHTON DC,Delivery Area,-37.90106,145.01669
3194,MENTONE,VIC,BRAESIDE DC,Delivery Area,-37.982859,145.0649
3194,MENTONE EAST,VIC,BRAESIDE DC,Delivery Area,-37.986195,145.03462
3194,MOORABBIN AIRPORT,VIC,BRAESIDE DC,Delivery Area,-37.977934,145.09892
3195,ASPENDALE,VIC,BRAESIDE DC,Delivery Area,-38.026479,145.101908
3195,ASPENDALE GARDENS,VIC,BRAESIDE DC,Delivery Area,-38.023456,145.118374
3195,BRAESIDE,VIC,BRAESIDE DC,Delivery Area,-38.008295,145.112478
3195,MORDIALLOC,VIC,BRAESIDE DC,Delivery Area,-38.007154,145.086849
3195,PARKDALE,VIC,BRAESIDE DC,Delivery Area,-37.992659,145.075479
3195,WATERWAYS,VIC,BRAESIDE DC,Delivery Area,-38.008051,145.110473
3196,BONBEACH,VIC,BRAESIDE DC,Delivery Area,-38.062472,145.119404
3196,CHELSEA,VIC,BRAESIDE DC,Delivery Area,-38.052346,145.115941
3196,CHELSEA HEIGHTS,VIC,BRAESIDE DC,Delivery Area,-38.045473,145.135901
3196,EDITHVALE,VIC,BRAESIDE DC,Delivery Area,-38.037415,145.107846
3205,SOUTH MELBOURNE,VIC,SOUTH MELBOURNE DC,Delivery Area,-37.93291,145.033718
3206,ALBERT PARK,VIC,SOUTH MELBOURNE DC,Delivery Area,-37.840705,144.95571
3206,MIDDLE PARK,VIC,SOUTH MELBOURNE DC,Delivery Area,-37.849721,144.965136
3207,GARDEN CITY,VIC,SOUTH MELBOURNE DC,Delivery Area,-37.829244,144.956207
3207,PORT MELBOURNE,VIC,SOUTH MELBOURNE DC,Delivery Area,-37.975682,145.030468
3335,PLUMPTON,VIC,MELTON DELIVERY,Delivery Area,-37.68584,144.685449
3335,ROCKBANK,VIC,MELTON DELIVERY,Delivery Area,-37.729119,144.650778
3337,KURUNJANG,VIC,MELTON DELIVERY,Delivery Area,-37.675127,144.58855
3337,MELTON,VIC,MELTON DELIVERY,Delivery Area,-37.683206,144.58315
3337,MELTON WEST,VIC,MELTON DELIVERY,Delivery Area,-37.684849,144.560691
3337,TOOLERN VALE,VIC,MELTON DELIVERY,Delivery Area,-37.605843,144.589792
3338,BROOKFIELD,VIC,MELTON DELIVERY,Delivery Area,-37.701172,144.540792
3338,EXFORD,VIC,MELTON DELIVERY,Delivery Area,-37.729899,144.548212
3338,EYNESBURY,VIC,MELTON DELIVERY,Delivery Area,-37.790039,144.56627
3338,MELTON SOUTH,VIC,MELTON DELIVERY,Delivery Area,-37.704323,144.574818
3782,AVONSLEIGH,VIC,BELGRAVE DELIVERY CENTRE,Delivery Area,-37.920702,145.467246
3782,CLEMATIS,VIC,BELGRAVE DELIVERY CENTRE,Delivery Area,-37.929232,145.423339
3782,EMERALD,VIC,BELGRAVE DELIVERY CENTRE,Delivery Area,-37.932085,145.44074
3782,MACCLESFIELD,VIC,BELGRAVE DELIVERY CENTRE,Delivery Area,-37.888403,145.487688
3783,GEMBROOK,VIC,BELGRAVE DELIVERY CENTRE,Delivery Area,-37.952497,145.550457
3785,TREMONT,VIC,BELGRAVE DELIVERY CENTRE,Delivery Area,-38.27059,144.491163
3786,FERNY CREEK,VIC,BELGRAVE DELIVERY CENTRE,Delivery Area,-37.881284,145.342274
3787,SASSAFRAS,VIC,BELGRAVE DELIVERY CENTRE,Delivery Area,-37.876027,145.36695
3787,SASSAFRAS GULLY,VIC,BELGRAVE DELIVERY CENTRE,Delivery Area,-37.894848,145.335854
3788,OLINDA,VIC,BELGRAVE DELIVERY CENTRE,Delivery Area,-37.85984,145.363835
3789,SHERBROOKE,VIC,BELGRAVE DELIVERY CENTRE,Delivery Area,-37.883737,145.364031
3791,KALLISTA,VIC,BELGRAVE DELIVERY CENTRE,Delivery Area,-37.900585,145.410171
3792,THE PATCH,VIC,BELGRAVE DELIVERY CENTRE,Delivery Area,-37.887353,145.392574
3793,MONBULK,VIC,BELGRAVE DELIVERY CENTRE,Delivery Area,-37.867678,145.408664
3800,MONASH UNIVERSITY,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.910545,145.134935
3802,ENDEAVOUR HILLS,VIC,DANDENONG DC,Delivery Area,-37.975281,145.254481
3803,HALLAM,VIC,DANDENONG DC,Delivery Area,-38.004302,145.269261
3804,NARRE WARREN EAST,VIC,NARRE WARREN DC,Delivery Area,-37.96602,145.363213
3804,NARRE WARREN NORTH,VIC,NARRE WARREN DC,Delivery Area,-37.981131,145.315271
3805,FOUNTAIN GATE,VIC,NARRE WARREN DC,Delivery Area,-38.021278,145.299771
3805,NARRE WARREN,VIC,NARRE WARREN DC,Delivery Area,-38.026383,145.306933
3805,NARRE WARREN SOUTH,VIC,NARRE WARREN DC,Delivery Area,-38.050061,145.298191
3806,BERWICK,VIC,NARRE WARREN DC,Delivery Area,-38.030467,145.344621
3806,HARKAWAY,VIC,NARRE WARREN DC,Delivery Area,-38.000318,145.341643
3807,BEACONSFIELD,VIC,NARRE WARREN DC,Delivery Area,-38.045159,145.36746
3807,GUYS HILL,VIC,NARRE WARREN DC,Delivery Area,-38.016778,145.386086
3910,LANGWARRIN,VIC,CRANBOURNE DC,Delivery Area,-38.153809,145.185851
3912,PEARCEDALE,VIC,SOMERVILLE DC,Delivery Area,-38.202617,145.232339
3912,SOMERVILLE,VIC,SOMERVILLE DC,Delivery Area,-38.223956,145.175798
3975,LYNBROOK,VIC,CRANBOURNE DC,Delivery Area,-38.050457,145.257531
3975,LYNDHURST,VIC,CRANBOURNE DC,Delivery Area,-38.053275,145.244343
3976,HAMPTON PARK,VIC,CRANBOURNE DC,Delivery Area,-38.032221,145.267863
3977,CANNONS CREEK,VIC,CRANBOURNE DC,Delivery Area,-38.212992,145.315447
3977,CRANBOURNE,VIC,CRANBOURNE DC,Delivery Area,-38.11122,145.268832
3977,CRANBOURNE EAST,VIC,CRANBOURNE DC,Delivery Area,-38.117857,145.320381
3977,CRANBOURNE NORTH,VIC,CRANBOURNE DC,Delivery Area,-38.082218,145.276538
3977,CRANBOURNE SOUTH,VIC,CRANBOURNE DC,Delivery Area,-38.145571,145.226226
3977,CRANBOURNE WEST,VIC,CRANBOURNE DC,Delivery Area,-38.109374,145.25241
3977,DEVON MEADOWS,VIC,CRANBOURNE DC,Delivery Area,-38.162501,145.319677
3977,JUNCTION VILLAGE,VIC,CRANBOURNE DC,Delivery Area,-38.138435,145.294077
3977,SANDHURST,VIC,CRANBOURNE DC,Delivery Area,-38.080718,145.209511
3977,SKYE,VIC,CRANBOURNE DC,Delivery Area,-38.1183,145.203099
